Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,85 Turner St,2,h,1480000,S,Biggin,3.12.2016,2.May,3067,2,1,1,202,,,Yarra,-377.996,1.449.984,Northern Metropolitan,4019
Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,4.02.2016,2.May,3067,2,1,0,156,79,1900,Yarra,-378.079,1.449.934,Northern Metropolitan,4019
Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,4.03.2017,2.May,3067,3,2,0,134,150,1900,Yarra,-378.093,1.449.944,Northern Metropolitan,4019
Abbotsford,40 Federation La,3,h,850000,PI,Biggin,4.03.2017,2.May,3067,3,2,1,94,,,Yarra,-377.969,1.449.969,Northern Metropolitan,4019
Abbotsford,55a Park St,4,h,1600000,VB,Nelson,4.06.2016,2.May,3067,3,1,2,120,142,2014,Yarra,-378.072,1.449.941,Northern Metropolitan,4019
Abbotsford,129 Charles St,2,h,941000,S,Jellis,7.05.2016,2.May,3067,2,1,0,181,,,Yarra,-378.041,1.449.953,Northern Metropolitan,4019
Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,7.05.2016,2.May,3067,4,2,0,245,210,1910,Yarra,-378.024,1.449.993,Northern Metropolitan,4019
Abbotsford,98 Charles St,2,h,1636000,S,Nelson,8.10.2016,2.May,3067,2,1,2,256,107,1890,Yarra,-37.806,1.449.954,Northern Metropolitan,4019
Abbotsford,6/241 Nicholson St,1,u,300000,S,Biggin,8.10.2016,2.May,3067,1,1,1,0,,,Yarra,-378.008,1.449.973,Northern Metropolitan,4019
Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,8.10.2016,2.May,3067,3,1,2,220,75,1900,Yarra,-37.801,1.449.989,Northern Metropolitan,4019
Abbotsford,411/8 Grosvenor St,2,u,700000,VB,Jellis,12.11.2016,2.May,3067,2,2,1,0,,,Yarra,-37.811,1.450.067,Northern Metropolitan,4019
Abbotsford,40 Nicholson St,3,h,1350000,VB,Nelson,12.11.2016,2.May,3067,3,2,2,214,190,2005,Yarra,-378.085,1.449.964,Northern Metropolitan,4019
Abbotsford,123/56 Nicholson St,2,u,750000,S,Biggin,12.11.2016,2.May,3067,2,2,1,0,94,2009,Yarra,-378.078,1.449.965,Northern Metropolitan,4019
Abbotsford,45 William St,2,h,1172500,S,Biggin,13.08.2016,2.May,3067,2,1,1,195,,,Yarra,-378.084,1.449.973,Northern Metropolitan,4019
Abbotsford,7/20 Abbotsford St,1,u,441000,SP,Greg,14.05.2016,2.May,3067,1,1,1,0,,,Yarra,-378.016,1.449.988,Northern Metropolitan,4019
Abbotsford,16 William St,2,h,1310000,S,Jellis,15.10.2016,2.May,3067,2,1,2,238,97,1890,Yarra,-37.809,1.449.976,Northern Metropolitan,4019
Abbotsford,42 Henry St,3,h,1200000,S,Jellis,16.07.2016,2.May,3067,3,2,1,113,110,1880,Yarra,-378.056,144.993,Northern Metropolitan,4019
Abbotsford,78 Yarra St,3,h,1176500,S,LITTLE,16.07.2016,2.May,3067,2,1,1,138,105,1890,Yarra,-378.021,1.449.965,Northern Metropolitan,4019
Abbotsford,196 Nicholson St,3,h,955000,S,Collins,17.09.2016,2.May,3067,3,1,0,183,,,Yarra,-378.022,1.449.975,Northern Metropolitan,4019
Abbotsford,42 Valiant St,2,h,890000,S,Biggin,17.09.2016,2.May,3067,2,1,1,150,73,1985,Yarra,-378.011,1.450.004,Northern Metropolitan,4019
Abbotsford,3/72 Charles St,4,h,1330000,PI,Kay,18.03.2017,2.May,3067,4,2,2,780,135,1900,Yarra,-378.073,1.449.952,Northern Metropolitan,4019
